x_px,y_px,diameter_px,clumped
4149.92,4995.25,6.77,0
4107.36,5008.21,4.22,0
3394.35,5028.80,20.90,1
3227.42,5078.59,26.87,1
3713.69,5059.45,12.26,1
3251.14,5056.71,4.22,1
4383.99,5125.67,17.15,0
3336.02,5138.71,15.88,0
3391.44,5143.36,11.17,0
4184.44,5171.44,16.96,0
3499.59,5186.85,28.90,1
3605.63,5205.19,20.74,0
3751.47,5211.59,16.12,0
4128.80,5238.21,20.87,1
3677.73,5238.41,5.29,0
3888.05,5250.52,20.44,1
3468.40,5261.07,4.37,0
3595.51,5270.66,19.22,0
4020.15,5294.13,20.74,1
3960.00,5282.06,4.79,0
3247.57,5307.57,13.06,1
3027.63,5329.11,14.32,0
3332.35,5331.28,13.68,0
3647.37,5331.38,15.92,0
3529.12,5343.50,16.70,0
4296.98,5351.81,19.90,0
3442.85,5359.91,26.37,1
4059.54,5365.87,17.37,0
3540.46,5382.22,17.33,0
3335.93,5382.34,14.54,0
3665.83,5395.61,17.41,0
4037.33,5429.20,17.22,0
4019.82,5429.72,7.05,0
3337.85,5437.00,4.07,0
4304.94,5453.77,28.23,1
4070.88,5448.73,16.62,0
3677.90,5450.86,17.26,0
3625.35,5467.56,18.19,0
3693.90,5488.98,18.05,1
4307.18,5503.93,17.00,0
3395.65,5510.59,18.12,0
3494.60,5518.46,18.75,0
4149.70,5523.48,16.08,0
3684.33,5521.67,4.79,0
4075.67,5532.92,26.63,1
3136.29,5539.97,17.73,0
3258.41,5550.66,25.08,0
3880.33,5548.77,17.77,0
3569.71,5563.67,16.58,0
3715.32,5564.72,19.08,0
3525.47,5570.28,16.66,0
4612.33,5569.64,9.03,1
4072.24,5583.06,19.28,0
3650.14,5594.50,18.92,0
3609.39,5606.47,25.03,1
4285.00,5607.31,4.07,0
4306.15,5617.15,17.98,0
4277.67,5625.33,5.17,0
3677.41,5660.47,26.94,1
4357.59,5644.12,4.65,0
4141.98,5659.26,17.63,1
3153.29,5688.54,27.20,1
3245.89,5701.16,19.99,0
4092.75,5696.64,16.47,0
3196.60,5710.23,15.80,0
4267.47,5712.50,17.70,1
3955.91,5715.61,5.41,0
3662.29,5739.80,19.51,0
3412.81,5749.93,16.16,0
3162.27,5754.69,15.76,0
3484.06,5765.34,24.57,1
3386.82,5773.47,22.60,1
3758.52,5764.99,16.81,0
3903.75,5765.10,5.05,0
3241.04,5788.43,17.00,0
4225.88,5804.96,26.08,0
3278.30,5800.60,16.12,0
3325.04,5822.13,16.93,0
3267.26,5839.19,29.98,1
4535.97,5836.13,19.51,0
3769.54,5845.56,19.64,0
3036.78,5865.26,19.87,0
4131.63,5882.44,26.58,0
3987.41,5883.26,18.05,0
3669.23,5886.67,18.44,0
4396.12,5885.08,5.75,0
4253.21,5903.37,16.51,0
3586.17,5928.29,22.11,0
4175.50,5927.28,16.93,1
3441.53,5924.87,4.37,0
3479.86,5946.90,15.43,0
3640.59,5946.85,16.04,0
4204.72,5950.37,18.47,1
3044.04,5956.69,17.41,0
4463.38,5957.85,16.96,0
4529.50,5960.68,6.96,0
4230.46,5967.71,17.33,0
3822.30,5966.74,13.91,0
3954.78,5982.01,17.04,0
4066.78,6004.09,15.22,0
3601.45,6010.40,16.77,0
3191.37,6014.25,18.09,1
3397.03,6039.67,17.52,0
4557.59,6053.26,11.17,1
3338.55,6057.55,6.96,0
4247.41,6072.21,17.52,0
3615.31,6076.94,17.30,0
4008.00,6087.54,16.77,0
3728.58,6125.08,25.98,1
3037.18,6127.49,16.23,0
3638.03,6136.64,17.08,0
3309.17,6154.07,18.44,0
3159.13,6159.20,4.37,0
3295.23,6157.85,4.07,0
3578.00,6166.69,4.07,0
3449.63,6177.42,19.28,0
4251.93,6179.33,4.37,1
3918.02,6193.52,21.29,1
4260.82,6184.11,5.97,0
3092.15,6192.00,4.07,0
3170.01,6234.54,16.47,0
3989.24,6238.99,16.96,1
4501.40,6255.14,16.55,1
3662.71,6278.35,16.96,0
4062.30,6314.71,18.75,0
3603.30,6312.60,5.05,0
3418.35,6354.05,20.06,0
3867.15,6352.07,17.91,0
4498.94,6364.33,4.79,0
4341.32,6406.84,4.92,0
3865.13,6415.42,16.31,0
3471.47,6433.13,4.37,0
3832.10,6473.44,28.57,1
