x_px,y_px,decision
3013.76,4948.00,reject
4262.64,6185.66,reject
4021.42,5428.03,reject
3264.80,5329.55,reject
3834.57,4918.71,reject
3996.00,4938.50,reject
3832.50,5007.00,reject
3394.39,5028.78,reject
3227.42,5078.59,reject
3713.69,5059.45,reject
3251.14,5056.71,reject
4310.67,5122.50,reject
3499.59,5186.85,reject
3522.67,5215.17,reject
4128.80,5238.21,reject
3888.05,5250.52,reject
4020.15,5294.13,reject
3247.57,5307.57,reject
3442.85,5359.91,reject
4304.94,5453.77,reject
3379.59,5467.51,reject
3208.38,5450.00,reject
4608.43,5461.29,reject
3736.00,5478.00,reject
3693.90,5488.98,reject
3397.00,5488.00,reject
3192.80,5521.11,reject
3737.50,5488.50,reject
4075.67,5532.92,reject
4612.33,5569.64,reject
3753.63,5600.61,reject
3609.39,5606.47,reject
3487.57,5629.71,reject
3677.41,5660.47,reject
3895.56,5671.36,reject
4141.98,5659.26,reject
3344.33,5667.50,reject
3153.29,5688.54,reject
3494.33,5715.19,reject
4267.47,5712.50,reject
4216.00,5732.50,reject
3484.06,5765.34,reject
3386.82,5773.47,reject
3611.62,5801.28,reject
4036.35,5863.25,reject
3267.26,5839.19,reject
3964.51,5842.58,reject
4345.29,5846.36,reject
3286.92,5900.53,reject
4175.50,5927.28,reject
4204.72,5950.37,reject
3475.43,5996.29,reject
3191.37,6014.25,reject
4557.59,6053.26,reject
3551.00,6085.50,reject
3828.80,6097.60,reject
3728.58,6125.08,reject
3384.33,6138.50,reject
4251.93,6179.33,reject
3918.02,6193.52,reject
3407.55,6228.16,reject
3989.24,6238.99,reject
4501.40,6255.14,reject
3473.50,6255.50,reject
3896.20,6295.60,reject
3023.00,6302.50,reject
4256.43,6331.71,reject
3831.00,6377.50,reject
3832.23,6475.57,reject
3362.74,6528.29,reject
3125.25,6567.75,reject
3446.99,6621.61,reject
4065.75,5885.75,reject
3199.25,5535.05,reject
3686.07,5519.00,reject
3418.95,6354.76,accept
4055.00,5898.59,reject
3190.70,5420.30,accept
4497.50,6363.88,reject
3604.76,6008.81,reject
3820.39,5962.39,accept
3988.96,5881.06,reject
3310.06,6152.78,reject
3038.26,6127.72,accept
3481.09,5946.89,accept
3586.31,5928.05,accept
4016.88,5816.14,accept
3194.48,5503.84,reject
3379.73,5454.36,reject
3666.39,5398.47,accept
