index,position,bead_id,angle_deg,x_um,y_um,bead_x_um,bead_y_um,bead_diameter_um,nn_um,clumped
0,B1132_A000,1132,0.0,149.85,1882.34,89.85,1882.34,86.05,371.33,0
1,B1132_A090,1132,90.0,89.85,1942.34,89.85,1882.34,86.05,371.33,0
2,B1132_A180,1132,180.0,29.85,1882.34,89.85,1882.34,86.05,371.33,0
3,B1132_A270,1132,270.0,89.85,1822.34,89.85,1882.34,86.05,371.33,0
4,B1124_A000,1124,0.0,329.89,2207.10,269.89,2207.10,78.49,358.89,0
5,B1124_A090,1124,90.0,269.89,2267.10,269.89,2207.10,78.49,358.89,0
6,B1124_A180,1124,180.0,209.89,2207.10,269.89,2207.10,78.49,358.89,0
7,B1124_A270,1124,270.0,269.89,2147.10,269.89,2207.10,78.49,358.89,0
8,B0803_A000,803,0.0,2654.28,8636.13,2594.28,8636.13,81.81,319.20,0
9,B0803_A090,803,90.0,2594.28,8696.13,2594.28,8636.13,81.81,319.20,0
10,B0803_A180,803,180.0,2534.28,8636.13,2594.28,8636.13,81.81,319.20,0
11,B0803_A270,803,270.0,2594.28,8576.13,2594.28,8636.13,81.81,319.20,0
12,B1117_A000,1117,0.0,6191.84,9460.98,6131.84,9460.98,78.67,305.70,0
13,B1117_A090,1117,90.0,6131.84,9520.98,6131.84,9460.98,78.67,305.70,0
14,B1117_A180,1117,180.0,6071.84,9460.98,6131.84,9460.98,78.67,305.70,0
15,B1117_A270,1117,270.0,6131.84,9400.98,6131.84,9460.98,78.67,305.70,0
16,B1090_A000,1090,0.0,5949.77,9647.67,5889.77,9647.67,86.39,305.70,0
17,B1090_A090,1090,90.0,5889.77,9707.67,5889.77,9647.67,86.39,305.70,0
18,B1090_A180,1090,180.0,5829.77,9647.67,5889.77,9647.67,86.39,305.70,0
19,B1090_A270,1090,270.0,5889.77,9587.67,5889.77,9647.67,86.39,305.70,0
20,B0908_A000,908,0.0,4533.07,9934.09,4473.07,9934.09,80.90,492.28,0
21,B0908_A090,908,90.0,4473.07,9994.09,4473.07,9934.09,80.90,492.28,0
22,B0908_A180,908,180.0,4413.07,9934.09,4473.07,9934.09,80.90,492.28,0
23,B0908_A270,908,270.0,4473.07,9874.09,4473.07,9934.09,80.90,492.28,0
24,B0844_A000,844,0.0,4042.18,9971.05,3982.18,9971.05,73.42,492.28,0
25,B0844_A090,844,90.0,3982.18,10031.05,3982.18,9971.05,73.42,492.28,0
26,B0844_A180,844,180.0,3922.18,9971.05,3982.18,9971.05,73.42,492.28,0
27,B0844_A270,844,270.0,3982.18,9911.05,3982.18,9971.05,73.42,492.28,0
28,B0894_A000,894,0.0,3742.08,9089.68,3682.08,9089.68,84.48,510.58,0
29,B0894_A090,894,90.0,3682.08,9149.68,3682.08,9089.68,84.48,510.58,0
30,B0894_A180,894,180.0,3622.08,9089.68,3682.08,9089.68,84.48,510.58,0
31,B0894_A270,894,270.0,3682.08,9029.68,3682.08,9089.68,84.48,510.58,0
32,B0759_A000,759,0.0,3095.70,9585.66,3035.70,9585.66,79.61,325.65,0
33,B0759_A090,759,90.0,3035.70,9645.66,3035.70,9585.66,79.61,325.65,0
34,B0759_A180,759,180.0,2975.70,9585.66,3035.70,9585.66,79.61,325.65,0
35,B0759_A270,759,270.0,3035.70,9525.66,3035.70,9585.66,79.61,325.65,0
36,B0422_A000,422,0.0,1442.96,10609.15,1382.96,10609.15,81.99,242.16,0
37,B0422_A090,422,90.0,1382.96,10669.15,1382.96,10609.15,81.99,242.16,0
